leave_id,emp_code,leave_type,start_date,end_date,total_days,status,reason,applied_date,approved_by,approval_date
LV001,EMP001,Vacation,2024-07-10,2024-07-14,5,Approved,Summer vacation,2024-06-15,HR Manager,2024-06-20
LV002,EMP001,Sick Leave,2024-03-15,2024-03-16,2,Approved,Flu,2024-03-14,Department Head,2024-03-14
LV003,EMP002,Vacation,2024-08-21,2024-09-01,10,Approved,Family vacation,2024-07-10,HR Manager,2024-07-15
LV004,EMP002,Sick Leave,2024-02-10,2024-02-10,1,Approved,Medical appointment,2024-02-09,Department Head,2024-02-09
LV005,EMP003,Maternity Leave,2024-05-01,2024-10-31,130,Approved,Maternity leave,2024-04-01,HR Director,2024-04-05
LV006,EMP004,Vacation,2024-06-12,2024-06-16,5,Pending,Summer break,2024-05-20,,
LV007,EMP004,Sick Leave,2024-01-20,2024-01-23,3,Approved,Covid recovery,2024-01-19,Department Head,2024-01-19
LV008,EMP005,Personal Leave,2024-11-23,2024-11-24,2,Approved,Thanksgiving,2024-11-10,HR Manager,2024-11-12
LV009,EMP005,Vacation,2024-04-10,2024-04-14,5,Approved,Spring vacation,2024-03-15,HR Manager,2024-03-20
LV010,EMP006,Sick Leave,2024-09-05,2024-09-08,4,Approved,Surgery recovery,2024-09-01,Department Head,2024-09-01
LV011,EMP006,Vacation,2024-12-18,2024-12-29,10,Approved,Year-end vacation,2024-11-20,HR Manager,2024-11-25
LV012,EMP007,Personal Leave,2024-03-01,2024-03-01,1,Approved,Family event,2024-02-28,Department Head,2024-02-28
LV013,EMP007,Vacation,2024-07-31,2024-08-04,5,Approved,Summer holiday,2024-06-25,HR Manager,2024-06-30
LV014,EMP008,Sick Leave,2024-10-10,2024-10-12,3,Approved,Medical treatment,2024-10-09,Department Head,2024-10-09
LV015,EMP008,Vacation,2024-05-15,2024-05-19,5,Approved,Personal time off,2024-04-20,HR Manager,2024-04-25
LV016,EMP009,Personal Leave,2024-08-07,2024-08-07,1,Approved,Moving house,2024-08-01,Department Head,2024-08-01
LV017,EMP009,Vacation,2024-03-27,2024-03-31,5,Approved,Spring break,2024-02-28,HR Manager,2024-03-05
LV018,EMP010,Sick Leave,2024-11-15,2024-11-17,3,Approved,Medical procedure,2024-11-10,Department Head,2024-11-10
LV019,EMP010,Vacation,2024-09-05,2024-09-15,9,Approved,Family reunion,2024-08-01,HR Manager,2024-08-05
LV020,EMP001,Personal Leave,2024-12-27,2024-12-29,3,Approved,Year-end break,2024-12-01,Department Head,2024-12-05
